Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Ligurian,Bormanus,God,God of Hot Springs,Liguria,Male,Healing and Soothing,Hot springs,Hot spring,Blue,"Healing, purification",,,,,
Ligurian,Bormus,God,God of the North Wind,Liguria,Male,Brisk and Refreshing,North wind,Wind symbol,White,"Refreshing breeze, air movement",,,,,
Turkish,Bozkırın Yeli,God,Wind of the Steppe,Turkish regions,Female,Gentle and Free-spirited,"Wind, Breeze","Wind, Breeze",Green,"Freedom, Nature",,,,,
Norse,Bragi,God,God of Poetry and Music,Asgard,Male,Artistic and Wise,"Poetry, Music",Harp,Yellow,"Art, Wisdom",,Gunnlod,,,
Hindu,Brahma,God,Creator god,Cosmic realm,Male,Creative and nurturing,"Creation and inspiration,","Ankh, djed pillar,","Gold, black","Creativity, nurturing",Married,Saraswati,Brahma,"Saraswati, Lakshmi","Many, including Manu, Daksha"
Celtic,Brigid,God,Goddess of poetry healing and smithcraft,"Magical realm, Europe",Female,Poetic and nurturing,Nature and fertility,"Antlers, torc, Flame, Anvil","Gold, green","Nature, fertility, Poetry, Healing, Creativity",Married,Boann,Dagda,Danu,"Many, including the Tuatha Dé Danann"
Scottish/Irish,Brigit,God,"Goddess of Poetry, Healing, and Smithcraft",Ireland,Female,Creative and Nurturing,"Poetry, Healing, Smithcraft","Flame, Anvil","Green, Red","Poetry, Healing, Smithcraft",,Danu,The Dagda,,"Ruadan, Bres, Ogma"
Buddhist,Buddha,God,Enlightened Teacher,Earth,Male,Wise Teacher,"Enlightenment, Compassion","Bodhi Tree, Dharma Wheel",Gold,"Wisdom, Compassion",,Queen Maya,King Suddhodana,,Rahula
Aboriginal,Bunjil,Anthropomorphism,"Eaglehawk creator being, associated with sky",Sky,Male,Wise and Protective,"Sky, protection","Eaglehawk, sky",Various,"Wisdom, protection",,,,,Various sky-related beings
Mongolian,Burkhan Garal,God,God of Mountains and the Hunt,Mountains,Male,Strong and Hunter,"Mountains, Hunting","Mountain Peaks, Bow",Brown,"Strength, Hunting",,Earth,Sky,,
Scottish/Irish,Cailleach,God,Goddess of Winter and Sovereignty,Ireland,Female,Winter and Sovereignty,"Winter, Land","Staff, Winter Gear","Blue, Grey","Winter, Sovereignty",,,,,
Vietnamese,Cao Lỗ,God,God of the Hearth and Domestic Fire,Hearth,Male,Nurturing and Protective,"Hearth, Domestic Fire",Ancestral Symbols,Red,"Home, Protection",,,,,
Ligurian,Cebenna,God,Goddess of Mountains,Liguria,Female,Mighty and Protective,Mountains,Mountain peaks,Brown,"Mountains, protection",,,,,
Toltec,Centeotl,God,God of Maize,Mesoamerica,Male,Maize God,"Maize, Agriculture",Maize Symbols,Yellow,"Maize, Agriculture",,,,,
Roman,Ceres,God,Goddess of Agriculture,Rome,Female,Nurturing and Abundant,"Agriculture, harvest",Sheaf of Wheat,Green,"Agriculture, harvest",,Saturn,Ops,,Proserpina
Celtic,Cernunnos,God,Horned god,Magical realm,Male,Wild and free,Wilderness and animals,"Bull horn, star","Gold, brown","Wilderness, animals",Married,"Danu,",Cernunnos,Anu,"Enlil, Ninurta"
Maya,Chaac,God,God of Rain,Mesoamerica,Male,Rain-bringer and Fierce,"Rain, Agriculture","Serpent, Water Lily",Blue,"Rain, Agriculture",,,,,
Toltec,Chalchiuhtlicue,God,Goddess of Water,Mesoamerica,Female,Goddess of Streams,"Water, Streams, Aquatic Life","Jade Skirt, Water Symbols",Blue,"Water, Streams",,Coatlicue,Mixcoatl,,"Tlaloc, Huitzilopochtli"
Aztec,Chalchiuhtlicue,God,Goddess of Water and Rivers,Aztec,Female,Water Goddess,"Water, Fertility","Jade, Fish",Blue,"Water, Fertility",,Coatlicue,Mixcoatl,,"Tlaloc, Huitzilopochtli"
Chinese,Chang'e,God,Moon Goddess,Moon,Female,Graceful and Lonely,"Moon, Elegance","Moon, Rabbit",Silver,"Grace, Loneliness",,,,,
Navajo,Changing Woman,God,Goddess of Fertility and Life,Navajo Nation,Female,Fertility Goddess,"Fertility, Life, Changing Seasons","Corn, Matrilineal Symbols","Yellow, Green","Fertility, Life",,,,,Twins (Monster Slayer and Born-for-Water)
Yoruba,Chango,God,"God of Thunder, Dance, and Fire",Yoruba lands,Male,"Dynamic, Energetic","Thunder, Dance","Double-headed Axe, Fire","Red, White","Energy, Passion",Married,Yemoja,Olorun,Oshun,"Oya, Ogun"
Greek,Chaos,God,Primordial deity representing the void,Greece,Other,Formless Essence,"Void, Formlessness, Primordial Chaos",Formless Abyss,Black,"Formlessness, Origin, Unbounded Potential",,,,,Various Primordial Beings
Greek,Charon,God,Ferryman of the Underworld,Greek Underworld,Male,Deity,"Transporter of Souls, Psychopomp","Boat, Oar",,Transporter of Souls,,,,,
Korean,Cheonjiwang,God,King of the Heavens,Sky,Male,Majestic and Wise,"Rulership, Order",Heavenly Throne,Blue,"Rulership, Order",,,,,
Slavic,Chernobog,God,God of Darkness,Slavic Regions,Male,God,"Darkness, Evil",Black,Black,Darkness,,,,,
Chinese,Chi You,God,God of War and Victory,Earth,Male,Courageous and Skilled in Battle,"War, Victory","Halberd, Metal Armor",Red,"Courage, Victory",,,,,
Muisca,Chibchacum,God,Creator God,Muisca Confederation,Male,God,"Creation, Agriculture","Mountains, Fields",,"Creation, Agriculture",,,,,
Ainu,Chikap Kamuy,God,Land God,Ainu Regions,Male,God,"Land, Nature","Land, Trees",,"Land, Nature",,,,,
Muisca,Chiminigagua,God,Creator of the Universe,Altiplano Cundiboyacense,Male,Cosmic Creator,"Universe, Stars, Creation",Celestial Symbols,Cosmic,"Cosmic Harmony, Creation",,,,,
Korean,Chungryeol,Anthropomorphism,"Azure Dragon, Guardian of the East",East,Male,Majestic and Benevolent,"Protection, Fortune",Dragon Scales,Blue,"Protection, Fortune",,,,,
Ainu,Cikap-kamuy,God,God of owls and the land,Ainu,Male,Deity,"Oversee the behavior of humans and kamuy, deity of material success","Great owl, Dipper Bird","Gold, silver",God of owls and the land,,,,,
Scottish/Irish,Cliodhna,God,Queen of the Banshees and Goddess of Love,Ireland,Female,Mysterious and Loving,"Love, Death","Banshee, Waves","Red, White","Love, Death",,The Dagda,,,
Aztec,Coatlicue,God,Mother of Gods,Mesoamerica,Female,Mother of Gods,"Creation, Destruction, Fertility","Serpent Skirt, Skulls",Brown,"Creation, Destruction, Fertility",Married,,Mixcoatl (Father),Mixcoatl,Huitzilopochtli
Zapotec,Cocijo,God,God of Rain,Mesoamerica,Male,Rain-bringer and Lightning,"Rain, Agriculture, Lightning",Lightning Bolt,Blue,"Rain, Lightning",,,,,
Native American,Coyote,Spirit,"Trickster figure, shape-shifter",Various,Other,"Trickster, Shapeshifter","Trickery, Adaptability",Shapeshifting abilities,Varied,"Trickery, Adaptability, Change",,Sky Spirit,Earth Spirit,,Various Creatures
Scottish/Irish,Cu Chulainn,Human,Heroic Warrior and Hound of Ulster,Ireland,Male,Fierce and Loyal,"Heroism, Loyalty","Spear, Hound","Red, Gold","Heroism, Loyalty",Married,Deichtine,Lugh,Emer,
Etruscan,Culsu,God,"Goddess of the Underworld, Chthonic Deity",Etruria,Female,Enigmatic and Powerful,"Underworld, death",Scepter,Black,"Underworld, mystery, power",,,,,
Berber,Dadas,God,Goddess of dance and celebration,Festivals,Female,Joyful and Energetic,"Dance, celebration",Tambourine,Multi-color,"Joy, celebration, communal spirit",,,,,Various festive and dance deities
Berber,Dadda,God,God of mountains and rugged terrain,Mountains,Male,Stoic and Majestic,"Mountains, rugged terrain",Mountain peak,Brown,"Strength, endurance, stability",,,,,Various mountain and terrain deities
Zoroastrian,Daena (Dīn),Spirit,Divine vision or conscience,-,Female,Deity,"Divine vision, afterlife judgment",-,-,Afterlife judgment,-,-,-,-,Various deities
Scottish/Irish,Dagda,God,"All-Father, God of Life and Death",Tara (Ireland),Male,Fatherly and Wise,"Life, Death","Cauldron, Club","Green, Brown","Life, Death",Married,Danu,Elatha,Boann,"Aengus, Brigit, and others"
Phoenician,Dagon,God,God of fertility and agriculture,Earth,Male,Fertile and Abundant,"Fertility, agriculture","Grain, plough","Green, brown","Fertility, abundance",,,,,"Many, including Baal"
Canaanite,Dagon,God,God of agriculture,-,Male,Deity,"Agriculture, grain, fertility",Fish,-,"Agriculture, fertility",-,-,-,-,Various deities
Shinto,Daikokuten,God,"God of Agriculture, Commerce, and Prosperity",Japan,Male,Wealthy and Generous,"Agriculture, Prosperity","Hammer, Bag of Rice","Red, Black","Prosperity, Generosity",,,,,"Many, including Daikokuten"
Fijian,Dakuwaqa,God,Shark god,Oceans,Male,Powerful and Fearsome,"Sharks, ocean, protection","Shark, fish motifs",Blue,"Protection, fearlessness",,,,,"Many, including sea creatures"
Vodou,Damballah Wedo,God,"Serpent Loa, Guardian of Waters","Haiti, New Orleans",Male,Serpent Deity,"Water, Rain, Fertility","Serpent, White Cloth","White, Blue","Fertility, Rain, Transformation",Married,Bondye,Ayida Wedo,Ayida Wedo,
Sumerian,Damkina,God,Mother,Sumer,Female,Goddess,Mother,,,Mother,,,,,
Korean,Dangun,Human,"Legendary Founder of Gojoseon, Korea's First Kingdom",Korea,Male,Founder and Wise,"Foundation, Leadership","Tiger, Bear","Red, White","Leadership, Foundation",,Hwanin (Sky God),Hwanung (Sky God),,
Celtic,Danu,God,Mother goddess,Magical realm,Female,"Motherly,",Poetry and arts,Brigids cross,"Green, brown","Poetry, arts",Married,Danu,Dagda,"The Dagda, Boann","Many, including Cernunnos, Brigid,"
Aboriginal,Daramulum,Spirit,"Morning Star, son of Baiame","Sky, Earth",Male,Youthful and Radiant,"Light, vitality",Morning star,Yellow,"Vitality, hope",,,Baiame,,
Aboriginal,Daramulum's wife,Spirit,"Companion of Daramulum, associated with Pleiades",Sky,Female,Companion and Protective,Celestial connection,Stars,Various,"Celestial connection, protection",Married,,,Daramulum,
Slavic,Dazhbog,God,God of Sun and Light,Sky,Male,Radiant and Warm,"Sun, light","Sun disk, radiant symbols","Gold, yellow","Radiance, warmth",,Slavic,Slavic,,"Many, including Myesyats"
Fijian,Degei,God,Supreme Creator and Sky God,"Sky, Vunidilo",Male,Wise and Powerful,"Creation, sky, serpents","Serpents, sky motifs",Blue,"Creation, wisdom",,,,,"Many, including spirits of creation"
Greek,Demeter,God,Goddess of Agriculture and Harvest,Mount Olympus,Female,Nurturing and Fertile,"Agriculture, harvest",Sheaf of wheat,Green,"Agriculture, fertility, harvest",,Cronus,Rhea,,Persephone
Turkish,Deniz Ana,God,Sea Goddess,Turkish regions,Female,Fluid and Ever-changing,"Sea, Water","Sea, Water",Blue,Fluidity,,,,,
Canaanite,Derceto (Atargatis),God,Goddess of fertility,-,Female,Deity,"Fertility, water, marine life",Fish,-,"Fertility, water, marine life",-,-,-,-,-
Indonesian,Dewi Sri,God,Rice and Fertility Goddess,"Earth, Agriculture",Female,Nurturing and Abundant,"Rice, Fertility","Rice, Grain",Green,"Fertility, Abundance",,,,,
Yazidi,Dezalik,Spirit,Yazidi Cosmic Principle,Yazidi,Other,Cosmic Principle,"Cosmic Harmony, Existence",Cosmic Symbols,,"Cosmic Harmony, Existence",,,,,
Balkan,Dhampir,Anthropomorphism,Hybrid,Balkan Regions,Other,Folklore,"Survival, Mystery",Vampire Slayer,Varies,"Survival, Mystery",,,,,
Arab,Dhat-Badan,God,Goddess of the Luminous Body,Pre-Islamic Arabia,Female,Radiant and Illuminating,"Light, Radiance, Illumination",Luminous Disk,White,"Enlightenment, Guidance",,,,,
Balkan,Dhia,God,Water Nymph,Balkan Regions,Female,Nymph,"Water, Nature",Water Elements,Blue,"Water, Nature",,,,,
Chinese,Di Jun,God,God of Earth and Agriculture,Earth,Male,Fertile and Benevolent,"Agriculture, Fertility","Plough, Ox",Brown,"Fertility, Agriculture",,,,,
Roman,Diana,God,Goddess of the Hunt and Moon,Rome,Female,Independent and Huntress,"Hunting, moon",Bow and Arrow,Silver,"Hunting, independence",Married,Jupiter,Latona,Endymion,
Maradona,Diego Maradona,Human,Football Legend,Argentina,Male,"Skillful, Charismatic","Football, Victory","Football, Number 10",Blue,"Excellence, Victory",Married,Dalma,Diego,Claudia,"Dalma, Gianinna"
Baltic,Dievas,God,Supreme god in Baltic mythology,Cosmic,Male,Wise and All-powerful,"Creation, cosmic order","Solar wheel, oak tree","Gold, white","Wisdom, creation",,,,,"Many, including nature spirits"
Greek,Dionysus,God,"God of Wine, Pleasure, and Theater",Mount Olympus,Male,Joyful and Liberating,"Wine, pleasure, theater","Grapevine, thyrsus",Purple,"Celebration, ecstasy, artistic expression",Married,Zeus,Semele,Ariadne,
Navajo,Diyin Diné,Spirit,Holy People and Spiritual Forces,Navajo Nation,Other,Divine Beings,"Nature, Harmony with the Sacred","Nature Symbols, Sacred Icons",Various,"Harmony with the Sacred, Nature",,,,,
Navajo,Diyin Dine'é,Human,Holy People,Navajo Nation,Male,"immune to danger, destruction, and death","Spirituality, people with supernatural powers","Sacred Mountains, Corn",,Holy People,,,,,
Gnostic,Dmuth,God,Gnostic Deity,Gnostic,Female,Gnostic Deity,Spiritual Influence,,,Spiritual Influence,,,,,
Korean,Dokkaebi,Anthropomorphism,"Goblin, Supernatural Being","Earth, Forest",Other,Mischievous and Supernatural,"Pranks, Supernatural Powers","Horns, Club",Green,"Mischievousness, Supernatural Power",,,,,
Slavic,Domovoi,Spirit,Household spirit and protector,Hearth,Male,Protective and Mischief,"Home, family, mischief","Small, bearded figure",Brown,"Home, family, mischief",,,,,
Chinese,Donghua Dijun,God,"Emperor of the East, Keeper of the Register of Life",Heaven,Male,Wise and Keeper of Life Records,"Life, Judgment","Register, Dragon",Blue,"Wisdom, Record-Keeping",,,,,
Caribbean,Douen,Spirit,Child Spirits in the Forest,Trinidad and Tobago,Other,Child Spirits,"Forests, Children, Mischief",Childlike Figures,White,"Childlike Innocence, Mischief",,,,,
Albanian,Drangue,God,Dragon-like beings,Albania,Male,Powerful and Mysterious,"Sky, Fire, Protection",Dragon Scales,Red,"Power, Guardianship",,,,,
Karajá,Dugó,God,God of the Waters and Aquatic Life,Karajá Region,Male,Aquatic Deity,"Rivers, Waters, Aquatic Life",Water Symbols,Blue,"Aquatic Life, River Protection",,,,,
Sumerian,Dumuzid,God,God of Shepherds and Vegetation,Sumer,Male,"Shepherd, Fertile","Shepherding, Fertility","Ram, Vegetation",Green,"Fertility, Abundance",Married,Ninhursag,Enki,Inanna,
Sumerian,Dumuzid (Tammuz),God,"God of shepherds, fertility",-,Male,Deity,"Shepherds, fertility",-,-,Fertility,-,Ningishzida,Enki,Inanna,Various deities
Hindu,Durga,God,Warrior Goddess,Various,Female,Fierce Protector,"Strength, Courage, Victory","Lion, Spear, Trishula",Red,"Strength, Courage, Protection",Married,Aditi,,Shiva,"Skanda, Ganesha"
Caribbean,Duvali,Spirit,Spirit of Carnival and Celebration,Trinidad and Tobago,Other,Carnival Spirit,"Festivity, Celebration, Joy","Carnival Masks, Instruments",Various,"Celebration, Joy, Cultural Expression",,,,,
Assyrian,Ea,God,God of Wisdom and Fresh Water,Assyria,Male,God of Wisdom,"Wisdom, Fresh Water, Magic","Serpent, Goat-Fish",Blue,"Wisdom, Magic",,Lahmu,Lahamu,,"Marduk, Dumuzi"
Tlingit,Eagle,Spirit,Sky Spirit and Symbol of Prestige,Tlingit Nation,Male,Sky Spirit,"Sky, Prestige, Leadership",Eagle Symbols,"Brown, White","Leadership, Prestige",,,,,
Shinto,Ebisu,God,God of Fishing and Prosperity,Japan,Male,Jovial and Prosperous,"Fishing, Prosperity","Fishing Rod, Sea Bream",Red,"Prosperity, Good Fortune",,Izanagi,Izanami,,"Many, including Daikokuten"
Spanish,Egeria,God,Nymph of Springs and Water,Iberian Peninsula,Female,Nurturing and Watery,"Springs, Water","Water Basin, Aqueduct","Blue, Green","Springs, Water",Married,,,Numa Pompilius,
Greek,Eileithyia,God,Goddess of Childbirth,Mount Olympus,Female,Compassionate and Supportive,Childbirth,Birthing stool,White,"Childbirth, motherhood",,Hera,Zeus,,
Norse,Eir,God,Goddess of Healing,Asgard,Female,Compassionate and Healing,Healing,Healing Tools,"Green, White","Healing, Compassion",,Not mentioned,Not mentioned,,
Maya,Ek Chuah,God,God of Merchants,Mesoamerica,Male,Prosperous and Commercial,"Merchants, Cocoa","Merchant Tools, Cocoa Bean","Red, Brown","Merchants, Prosperity",,,,,
Phoenician,El,God,Supreme Deity,Sky,Male,Supreme Deity,"Creation, life","Sun, moon, Bull","Gold, silver","Creation, life, fertility",,,,,Various deities
Spanish,Elbora,God,Goddess of the Duero River,Celtiberia,Female,Flowing and Nurturing,"River, Nurturing","River, Cornucopia","Blue, Green","River, Nurturing",,,,,
Yoruba,Eleggua,God,God of Crossroads and Choices,Yoruba lands,Male,"Trickster, Gatekeeper",Crossroads,"Keys, Dog","Red, Black","Choices, Opportunities",,Yemoja,Olorun,,
Sumerian,Ellil,God,Wind,Sumer,Male,God,Wind,,,Wind,,,,,
Jewish,Elohim,God,God (Plural Form),Heaven,Male,Creator and Judge,"Creation, Judgment, Wisdom",Heavenly Cloud,Blue,"Wisdom, Authority",,,,,
Scottish/Irish,Emer,Human,Wife of Cu Chulainn,Ireland,Female,Wise and Loyal,"Wisdom, Loyalty",Not specified,"Green, Gold","Wisdom, Loyalty",Married,Forgall Monach,,Cu Chulainn,"Connla, Ciaran, and others"
Sumerian,Enbilulu,God,God of Canals and Ditches,Sumer,Male,"Canal God, Water","Canals, Water",Irrigation Tools,"Blue, Green","Irrigation, Water Management",,Ninhursag,Enki,,
Spanish,Endovelicus,God,Protector God of the City of Segóbriga,Segóbriga (Spain),Male,Guardian and Protective,"City, Protection","City Walls, Spear","Brown, Silver","City, Protection",,,,,
Maasai,Engai Narok,God,Sun God,Maasai Regions,Male,God,"Sun, Heat","Sun, Heat",Yellow,"Sun, Heat",,,,,
Maasai,Enkai,God,Creator God,Maasai Regions,Male,God,Creation,"Mountain, Sky",Blue,Creation,,,,,
Maasai,Enkai Naaye,God,God of Cattle,Maasai Regions,Male,God,"Cattle, Wealth","Cattle, Horns",Brown,"Cattle, Wealth",,,,,
Maasai,Enkai Nanyokie,God,Rain Goddess,Maasai Regions,Female,Goddess,"Rain, Fertility","Rain, Fertility",Blue,"Rain, Fertility",,,,,
Sumerian,Enki,God,"God of Water, Wisdom, and Magic",Sumer,Male,"Wise, Cunning","Wisdom, Magic","Goat, Streams, Magic",Black,"Wisdom, Creativity, Magic",,Nammu,An,,"Marduk, Ninsar, Ninkurra"
Sumerian,Enkimdu,God,Farmer,Sumer,Male,God,Agriculture,,,Farmer,,,,,
Mesopotamian,Enlil,God,God of air and storms,Sky,Male,Stormy and wise,Storms and weather,"Horned crown, storm symbol","Stormy colors,","Storms, weather",Married,Ninlil,Enlil,Ninlil,Ninurta
Assyrian,Enlil,God,"Chief Deity, God of Air and Storms",Assyria,Male,Supreme Deity,"Air, Storms, Creation","Horned Crown, Storm",Blue,"Leadership, Order, Creation",Married,An,Anu,Antum,"Many, including Ninurta"
Sumerian,Enlil,God,"God of wind, storms, agriculture",Sumer,Male,"Storm God, Commanding","Storms, Command","Horned Crown, Storms",Blue,"Command, Leadership, Justice",Married,Nammu,An,Ninlil,"Ninurta, Nanna, Inanna, Utu"
Capitalist,Entrepreneur,Human,Patron of Business and Innovation,Global,Other,Innovative Leader,"Business, Innovation, Profit","Gear, Currency",Green,"Innovation, Profit, Entrepreneurship",,,,,Enterprises
Hopi,Eototo,God,Flute Player,Hopi Mesas,Male,Deity,Music,Flute,,Flute Player,,,,,
Spanish,Epona,God,Goddess of Horses and Fertility,Celtiberia,Female,Protective and Equestrian,"Horses, Fertility","Horse, Cornucopia","White, Gold","Horses, Fertility",,,,,
Mesopotamian,Ereshkigal,God,Queen of the Underworld,Sumerian Regions,Female,Goddess,Underworld,"Casket, Owl",Black,Underworld,,Nammu,Anu,,
Sumerian,Ereshkigal,God,Goddess of the underworld,-,Female,Deity,Underworld,-,-,Underworld,-,Anu,Enlil,Nergal,Various deities
Sao,Erin,God,Goddess of love and beauty,Cosmos,Female,Loving and Beautiful,"Love, beauty",Rose,Pink,"Love, beauty, emotional well-being",,Olokun,Oshun,,Various love and beauty deities
