Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
ainu,chikap kamuy,god,land god,ainu regions,male,god,"land, nature","land, trees",,"land, nature",,,,,,,
muisca,chiminigagua,god,creator of the universe,altiplano cundiboyacense,other,cosmic creator,"universe, stars, creation",celestial symbols,cosmic,"cosmic harmony, creation",,,,,,,
korean,chungryeol,anthropomorphism,"azure dragon, guardian of the east",east,other,majestic and benevolent,"protection, fortune",dragon scales,blue,"protection, fortune",,,,,,,
ainu,cikap-kamuy,god,god of owls and the land,ainu,male,deity,"oversee the behavior of humans and kamuy, deity of material success","great owl, dipper bird","gold, silver",god of owls and the land,,,,,,,
scottish/irish,cliodhna,god,queen of the banshees and goddess of love,ireland,female,mysterious and loving,"love, death","banshee, waves","red, white","love, death",,the dagda,,,,,
aztec,coatlicue,god,mother of gods,mesoamerica,male,mother of gods,"creation, destruction, fertility","serpent skirt, skulls",brown,"creation, destruction, fertility",married,,mixcoatl (father),mixcoatl,huitzilopochtli,,
zapotec,cocijo,god,god of rain,mesoamerica,male,rain-bringer and lightning,"rain, agriculture, lightning",lightning bolt,blue,"rain, lightning",,,,,,,
native american,coyote,spirit,"trickster figure, shape-shifter",various,other,"trickster, shapeshifter","trickery, adaptability",shapeshifting abilities,varied,"trickery, adaptability, change",,sky spirit,earth spirit,,various creatures,,
scottish/irish,cu chulainn,human,heroic warrior and hound of ulster,ireland,other,fierce and loyal,"heroism, loyalty","spear, hound","red, gold","heroism, loyalty",married,deichtine,lugh,emer,,,
etruscan,culsu,god,"goddess of the underworld, chthonic deity",etruria,female,enigmatic and powerful,"underworld, death",scepter,black,"underworld, mystery, power",,,,,,,
berber,dadas,god,goddess of dance and celebration,festivals,female,joyful and energetic,"dance, celebration",tambourine,multi-color,"joy, celebration, communal spirit",,,,,various festive and dance deities,,
berber,dadda,god,god of mountains and rugged terrain,mountains,male,stoic and majestic,"mountains, rugged terrain",mountain peak,brown,"strength, endurance, stability",,,,,various mountain and terrain deities,,
zoroastrian,daena (dīn),spirit,divine vision or conscience,-,other,deity,"divine vision, afterlife judgment",-,-,afterlife judgment,-,-,-,-,various deities,,
scottish/irish,dagda,god,"all-father, god of life and death",tara (ireland),male,fatherly and wise,"life, death","cauldron, club","green, brown","life, death",married,danu,elatha,boann,"aengus, brigit, and others",,
phoenician,dagon,god,god of fertility and agriculture,earth,male,fertile and abundant,"fertility, agriculture","grain, plough","green, brown","fertility, abundance",,,,,"many, including baal",,
canaanite,dagon,god,god of agriculture,-,male,deity,"agriculture, grain, fertility",fish,-,"agriculture, fertility",-,-,-,-,various deities,,
shinto,daikokuten,god,"god of agriculture, commerce, and prosperity",japan,male,wealthy and generous,"agriculture, prosperity","hammer, bag of rice","red, black","prosperity, generosity",,,,,"many, including daikokuten",,
fijian,dakuwaqa,god,shark god,oceans,male,powerful and fearsome,"sharks, ocean, protection","shark, fish motifs",blue,"protection, fearlessness",,,,,"many, including sea creatures",,
vodou,damballah wedo,god,"serpent loa, guardian of waters","haiti, new orleans",other,serpent deity,"water, rain, fertility","serpent, white cloth","white, blue","fertility, rain, transformation",married,bondye,ayida wedo,ayida wedo,,,
sumerian,damkina,god,mother,sumer,other,goddess,mother,,,mother,,,,,,,
korean,dangun,human,"legendary founder of gojoseon, korea's first kingdom",korea,other,founder and wise,"foundation, leadership","tiger, bear","red, white","leadership, foundation",,hwanin (sky god),hwanung (sky god),,,,
celtic,danu,god,mother goddess,magical realm,female,"motherly,",poetry and arts,brigids cross,"green, brown","poetry, arts",married,danu,dagda,"the dagda, boann","many, including cernunnos, brigid,",,
aboriginal,daramulum,spirit,"morning star, son of baiame","sky, earth",other,youthful and radiant,"light, vitality",morning star,yellow,"vitality, hope",,,baiame,,,,
aboriginal,daramulum's wife,spirit,"companion of daramulum, associated with pleiades",sky,other,companion and protective,celestial connection,stars,various,"celestial connection, protection",married,,,daramulum,,,
slavic,dazhbog,god,god of sun and light,sky,male,radiant and warm,"sun, light","sun disk, radiant symbols","gold, yellow","radiance, warmth",,slavic,slavic,,"many, including myesyats",,
fijian,degei,god,supreme creator and sky god,"sky, vunidilo",male,wise and powerful,"creation, sky, serpents","serpents, sky motifs",blue,"creation, wisdom",,,,,"many, including spirits of creation",,
greek,demeter,god,goddess of agriculture and harvest,mount olympus,female,nurturing and fertile,"agriculture, harvest",sheaf of wheat,green,"agriculture, fertility, harvest",,cronus,rhea,,persephone,,
turkish,deniz ana,god,sea goddess,turkish regions,female,fluid and ever-changing,"sea, water","sea, water",blue,fluidity,,,,,,,
canaanite,derceto (atargatis),god,goddess of fertility,-,female,deity,"fertility, water, marine life",fish,-,"fertility, water, marine life",-,-,-,-,-,,
indonesian,dewi sri,god,rice and fertility goddess,"earth, agriculture",female,nurturing and abundant,"rice, fertility","rice, grain",green,"fertility, abundance",,,,,,,
yazidi,dezalik,spirit,yazidi cosmic principle,yazidi,other,cosmic principle,"cosmic harmony, existence",cosmic symbols,,"cosmic harmony, existence",,,,,,,
balkan,dhampir,anthropomorphism,hybrid,balkan regions,other,folklore,"survival, mystery",vampire slayer,varies,"survival, mystery",,,,,,,
arab,dhat-badan,god,goddess of the luminous body,pre-islamic arabia,female,radiant and illuminating,"light, radiance, illumination",luminous disk,white,"enlightenment, guidance",,,,,,,
balkan,dhia,god,water nymph,balkan regions,female,nymph,"water, nature",water elements,blue,"water, nature",,,,,,,
chinese,di jun,god,god of earth and agriculture,earth,male,fertile and benevolent,"agriculture, fertility","plough, ox",brown,"fertility, agriculture",,,,,,,
roman,diana,god,goddess of the hunt and moon,rome,female,independent and huntress,"hunting, moon",bow and arrow,silver,"hunting, independence",married,jupiter,latona,endymion,,,
maradona,diego maradona,human,football legend,argentina,other,"skillful, charismatic","football, victory","football, number 10",blue,"excellence, victory",married,dalma,diego,claudia,"dalma, gianinna",,
baltic,dievas,god,supreme god in baltic mythology,cosmic,male,wise and all-powerful,"creation, cosmic order","solar wheel, oak tree","gold, white","wisdom, creation",,,,,"many, including nature spirits",,
greek,dionysus,god,"god of wine, pleasure, and theater",mount olympus,male,joyful and liberating,"wine, pleasure, theater","grapevine, thyrsus",purple,"celebration, ecstasy, artistic expression",married,zeus,semele,ariadne,,,
navajo,diyin diné,spirit,holy people and spiritual forces,navajo nation,other,divine beings,"nature, harmony with the sacred","nature symbols, sacred icons",various,"harmony with the sacred, nature",,,,,,,
navajo,diyin dine'é,human,holy people,navajo nation,other,"immune to danger, destruction, and death","spirituality, people with supernatural powers","sacred mountains, corn",,holy people,,,,,,,
gnostic,dmuth,god,gnostic deity,gnostic,other,gnostic deity,spiritual influence,,,spiritual influence,,,,,,,
korean,dokkaebi,anthropomorphism,"goblin, supernatural being","earth, forest",other,mischievous and supernatural,"pranks, supernatural powers","horns, club",green,"mischievousness, supernatural power",,,,,,,
slavic,domovoi,spirit,household spirit and protector,hearth,other,protective and mischief,"home, family, mischief","small, bearded figure",brown,"home, family, mischief",,,,,,,
chinese,donghua dijun,god,"emperor of the east, keeper of the register of life",heaven,other,wise and keeper of life records,"life, judgment","register, dragon",blue,"wisdom, record-keeping",,,,,,,
caribbean,douen,spirit,child spirits in the forest,trinidad and tobago,other,child spirits,"forests, children, mischief",childlike figures,white,"childlike innocence, mischief",,,,,,,
albanian,drangue,god,dragon-like beings,albania,other,powerful and mysterious,"sky, fire, protection",dragon scales,red,"power, guardianship",,,,,,,
karajá,dugó,god,god of the waters and aquatic life,karajá region,male,aquatic deity,"rivers, waters, aquatic life",water symbols,blue,"aquatic life, river protection",,,,,,,
sumerian,dumuzid,god,god of shepherds and vegetation,sumer,male,"shepherd, fertile","shepherding, fertility","ram, vegetation",green,"fertility, abundance",married,ninhursag,enki,inanna,,,
sumerian,dumuzid (tammuz),god,"god of shepherds, fertility",-,male,deity,"shepherds, fertility",-,-,fertility,-,ningishzida,enki,inanna,various deities,,
hindu,durga,god,warrior goddess,various,female,fierce protector,"strength, courage, victory","lion, spear, trishula",red,"strength, courage, protection",married,aditi,,shiva,"skanda, ganesha",,
caribbean,duvali,spirit,spirit of carnival and celebration,trinidad and tobago,other,carnival spirit,"festivity, celebration, joy","carnival masks, instruments",various,"celebration, joy, cultural expression",,,,,,,
assyrian,ea,god,god of wisdom and fresh water,assyria,male,god of wisdom,"wisdom, fresh water, magic","serpent, goat-fish",blue,"wisdom, magic",,lahmu,lahamu,,"marduk, dumuzi",,
tlingit,eagle,spirit,sky spirit and symbol of prestige,tlingit nation,other,sky spirit,"sky, prestige, leadership",eagle symbols,"brown, white","leadership, prestige",,,,,,,
shinto,ebisu,god,god of fishing and prosperity,japan,male,jovial and prosperous,"fishing, prosperity","fishing rod, sea bream",red,"prosperity, good fortune",,izanagi,izanami,,"many, including daikokuten",,
spanish,egeria,god,nymph of springs and water,iberian peninsula,female,nurturing and watery,"springs, water","water basin, aqueduct","blue, green","springs, water",married,,,numa pompilius,,,
greek,eileithyia,god,goddess of childbirth,mount olympus,female,compassionate and supportive,childbirth,birthing stool,white,"childbirth, motherhood",,hera,zeus,,,,
norse,eir,god,goddess of healing,asgard,female,compassionate and healing,healing,healing tools,"green, white","healing, compassion",,not mentioned,not mentioned,,,,
maya,ek chuah,god,god of merchants,mesoamerica,male,prosperous and commercial,"merchants, cocoa","merchant tools, cocoa bean","red, brown","merchants, prosperity",,,,,,,
phoenician,el,god,supreme deity,sky,other,supreme deity,"creation, life","sun, moon, bull","gold, silver","creation, life, fertility",,,,,various deities,,
spanish,elbora,god,goddess of the duero river,celtiberia,female,flowing and nurturing,"river, nurturing","river, cornucopia","blue, green","river, nurturing",,,,,,,
yoruba,eleggua,god,god of crossroads and choices,yoruba lands,male,"trickster, gatekeeper",crossroads,"keys, dog","red, black","choices, opportunities",,yemoja,olorun,,,,
sumerian,ellil,god,wind,sumer,other,god,wind,,,wind,,,,,,,
jewish,elohim,god,god (plural form),heaven,male,creator and judge,"creation, judgment, wisdom",heavenly cloud,blue,"wisdom, authority",,,,,,,
scottish/irish,emer,human,wife of cu chulainn,ireland,other,wise and loyal,"wisdom, loyalty",not specified,"green, gold","wisdom, loyalty",married,forgall monach,,cu chulainn,"connla, ciaran, and others",,
sumerian,enbilulu,god,god of canals and ditches,sumer,male,"canal god, water","canals, water",irrigation tools,"blue, green","irrigation, water management",,ninhursag,enki,,,,
spanish,endovelicus,god,protector god of the city of segóbriga,segóbriga (spain),male,guardian and protective,"city, protection","city walls, spear","brown, silver","city, protection",,,,,,,
maasai,engai narok,god,sun god,maasai regions,male,god,"sun, heat","sun, heat",yellow,"sun, heat",,,,,,,
maasai,enkai,god,creator god,maasai regions,male,god,creation,"mountain, sky",blue,creation,,,,,,,
maasai,enkai naaye,god,god of cattle,maasai regions,male,god,"cattle, wealth","cattle, horns",brown,"cattle, wealth",,,,,,,
maasai,enkai nanyokie,god,rain goddess,maasai regions,female,goddess,"rain, fertility","rain, fertility",blue,"rain, fertility",,,,,,,
sumerian,enki,god,"god of water, wisdom, and magic",sumer,male,"wise, cunning","wisdom, magic","goat, streams, magic",black,"wisdom, creativity, magic",,nammu,an,,"marduk, ninsar, ninkurra",,
sumerian,enkimdu,god,farmer,sumer,other,god,agriculture,,,farmer,,,,,,,
mesopotamian,enlil,god,god of air and storms,sky,male,stormy and wise,storms and weather,"horned crown, storm symbol","stormy colors,","storms, weather",married,ninlil,enlil,ninlil,ninurta,,
assyrian,enlil,god,"chief deity, god of air and storms",assyria,male,supreme deity,"air, storms, creation","horned crown, storm",blue,"leadership, order, creation",married,an,anu,antum,"many, including ninurta",,
sumerian,enlil,god,"god of wind, storms, agriculture",sumer,male,"storm god, commanding","storms, command","horned crown, storms",blue,"command, leadership, justice",married,nammu,an,ninlil,"ninurta, nanna, inanna, utu",,
capitalist,entrepreneur,human,patron of business and innovation,global,other,innovative leader,"business, innovation, profit","gear, currency",green,"innovation, profit, entrepreneurship",,,,,enterprises,,
